id,SentimentScore,SentimentMagnitude
f98d0ea9b,0.3,1.3
deb43659b,0.1,0.1
c2f8022f3,0.9,1.8
5e3dc5d76,0.0,0.0
5e390710c,0.3,6.4
706c85343,0.3,0.7
1e6c42df6,0.0,4.8
b3ae374f7,0.4,1.8
5918330ac,0.5,1.1
cc3fe68d2,0.4,0.9
2d79572ae,0.1,1.6
a0be6d2a4,0.0,0.7
0e6b24bc4,0.2,0.2
9104803d9,0.3,1.1
d6b0d8aa9,0.9,1.8
085c9be4a,0.1,1.5
c7e3c3270,0.2,1.6
eb8620132,0.6,1.3
3a3d4f5dc,-0.5,1.0
0fc52b599,0.7,1.4
8311f29c4,0.4,1.7
7d6d03de2,0.1,1.4
810805880,0.5,2.1
2ac1366f4,0.9,0.9
5ced5d057,0.2,2.7
b744f152f,0.7,0.7
2f72b9f33,0.1,1.0
95af6f72b,0.0,0.2
f3b29563b,0.0,0.0
72c626d6c,0.2,1.8
da56f7030,0.8,1.6
feec7a438,0.0,0.0
1e5b2baa8,0.1,3.3
ea159d8da,0.4,2.2
267bf57c8,0.3,2.6
77a6f71e8,0.4,2.4
e9b1363e5,0.7,0.7
71b8ca636,0.7,0.7
12d48709c,0.3,0.6
235a61374,0.0,2.2
4f1bf01b6,0.6,4.0
3a8f24615,0.9,0.9
d21ed8b84,0.3,1.3
d6209194b,0.3,2.4
c39793853,0.2,2.6
5eec2fedc,0.2,1.5
bd485150e,0.3,0.8
55b9c70eb,0.4,0.8
3bef75882,-0.1,11.7
edfe1377f,0.9,0.9
9fb8e5e73,0.0,1.6
b790a32cf,0.8,0.8
c001a0b58,0.4,1.9
0d784a800,0.5,0.5
f104f8045,0.3,3.2
2b446dd3c,0.1,1.6
30dbb2e50,0.5,2.3
d870d5767,0.2,3.4
0e107c82f,0.4,0.4
079332bdc,0.0,0.0
54ec12bf6,0.0,2.4
2c5b817a7,0.0,3.7
c9e86cf3c,0.3,2.2
51022a643,0.0,1.4
53cd20574,0.1,2.4
4df3c8b8f,0.2,0.9
5884b684d,0.4,3.9
780c099b4,0.5,5.5
07558410c,0.3,2.1
7a72ba3d7,0.0,0.6
9f24a0672,0.1,3.5
a36e3c034,0.1,1.7
a76fa694e,0.1,3.5
3b41cf42a,0.4,2.1
690de80b5,0.4,3.4
a24a102b1,0.5,2.8
bc8aedde4,0.7,2.2
9a627ad95,0.3,1.3
12d514ef2,-0.4,4.1
eff4a47b5,0.1,1.0
e4277c6de,0.4,3.6
646fe5d09,0.2,1.1
c68f66799,0.0,3.5
1f3e595eb,0.5,1.0
c042fa2d5,0.6,1.3
ae0535c8c,0.0,4.1
6bec28b35,0.4,2.9
6d6318af8,0.2,3.3
c18984292,0.2,9.0
0822db812,0.4,2.1
b7d2f8186,0.4,1.4
aaa9c8e09,0.2,1.3
a8055a2ba,0.3,2.8
a561b2487,0.3,2.2
f95db0cb5,0.1,3.1
a04c35bc6,0.0,1.9
d94f98004,-0.1,0.3
e2c365994,0.1,0.6
92085e776,0.5,3.7
34b96cf6a,0.2,3.7
afa1e2afb,0.6,2.5
ab4b4681b,0.8,0.8
5264f98c4,0.2,1.5
150257980,0.4,0.8
23cdf5f21,0.3,0.3
41612698d,0.5,1.6
db10909d5,0.0,0.0
ebc345fe0,0.0,0.5
10c24c385,0.4,2.6
ee5f5db50,0.4,2.4
9d6c6055b,0.0,1.5
a3d8c3aaa,0.1,2.6
081f88f27,0.0,1.7
4d6350e54,0.1,3.1
756eaf5eb,0.0,1.1
cc607ef5c,0.8,2.4
532ccd0c5,0.4,1.5
e1671ccb9,0.4,0.9
eea42fc56,0.3,1.9
8bf0f354b,0.5,1.0
6831a72fd,0.0,0.3
b78b30c18,0.2,1.9
382cc2865,0.5,3.4
abf1716a9,0.3,2.0
edcc13ccb,0.0,0.4
c68936b74,0.4,2.5
aeda0ac0d,0.2,17.5
3c30c4a49,-0.3,1.0
e99a775d2,0.0,3.0
f8204bf7c,0.6,1.9
9de6b8550,0.1,0.3
b43e7b1fe,0.3,2.3
8aec4488c,0.6,2.5
d3ff1ea74,0.2,1.3
ed5261f14,0.1,2.6
718c4b524,0.3,6.3
42444811d,0.2,0.9
b06c1ad30,0.0,1.3
7dfa4e393,0.4,1.7
9070ef426,0.8,0.8
cff3127ad,0.3,3.8
d2161e0a2,0.0,0.4
6dc2f0739,0.1,1.0
dc7dad1da,0.0,0.8
76d3ef2a4,0.2,0.6
6518a598b,0.2,1.1
8cdad4b1c,0.4,2.4
ab821872c,-0.1,0.8
3679001f5,0.4,3.4
32eb3673a,0.1,2.6
4b2150d3a,0.4,0.9
df0b49ce7,0.3,6.9
b4835265a,0.2,10.2
78cf59390,0.1,0.4
b73cc0f45,0.4,2.4
1eb6e3ae1,0.1,0.7
532396459,0.3,2.1
5b07e0e6a,-0.3,0.3
8f15fc3d8,0.1,9.6
09af85878,0.0,0.0
f2117b204,0.0,1.6
38063ee14,0.4,1.4
770eca5eb,0.0,0.0
f03b04b1e,0.8,0.8
afefc6424,0.9,1.9
fc43d7ddb,0.7,2.2
e72a77ee4,0.0,2.1
6dd6363f0,0.3,4.8
4d7fd1ee8,0.6,2.4
263f0704d,0.5,2.5
e736ab042,0.0,0.2
d2ac2859f,0.0,2.5
1f0721fa8,0.5,1.1
2e392586a,0.1,0.4
4a67bf90d,-0.1,2.6
9102809eb,0.0,2.4
467faacc0,0.6,0.6
f0d5ff33a,0.4,0.8
1dc90fbb8,0.2,2.6
966598774,0.8,1.7
39e9ecb70,0.9,0.9
4552e7972,0.4,2.8
9bfddbc4c,0.3,1.4
8c7b2f093,0.2,2.5
f222ca167,0.6,1.8
8102d6dc7,0.0,0.2
4d0e2bebf,0.9,0.9
b4d0c60b6,-0.1,4.9
ab22c3350,0.7,0.7
26b1d01eb,0.2,2.1
6e31c7d5c,0.4,1.8
577de26db,-0.9,0.9
1045bb4c4,0.2,0.8
369da3ef0,0.1,1.0
7330b19a5,0.8,0.8
cf162bb42,0.0,3.6
5f5bd40ca,0.1,4.7
51196cf13,0.0,1.9
35a62a8b1,0.3,0.3
99558ec92,0.0,2.0
7e8bab7a5,0.5,3.3
4436738dd,0.5,3.3
44c8447f9,-0.2,1.8
b00e4262e,0.4,4.5
7a7153881,0.0,0.0
8d301b5e6,0.3,0.9
fcf377cce,0.7,0.7
c15c93964,0.4,2.2
3b61f8d97,0.1,1.3
b2566d195,0.3,2.9
4f1d0410d,0.2,2.4
6e643eba1,0.0,6.1
64c2d93c9,0.6,1.8
53ac79c6c,0.3,6.0
b0ad07cfc,0.4,1.7
209dab64b,0.6,0.6
ddc3af1ee,0.0,3.5
f98b9d62a,0.3,4.2
fa87afa7d,0.0,16.4
4d40cfa55,0.2,1.4
656246ceb,-0.1,0.3
e133ab2f1,0.2,0.2
742dcad55,0.5,0.5
d680ddf5d,0.5,1.7
a88845c74,0.4,3.5
19f4d65b7,0.3,2.2
0ba16b529,0.3,0.6
298feb02b,0.1,2.1
6735cc397,0.0,0.0
44f198a24,0.0,0.4
c2558c319,0.0,0.6
7028931ed,0.3,0.3
ceee65059,0.4,1.2
618f4931a,0.4,2.9
d202e4c9c,0.2,0.5
143027239,0.1,5.4
b3cf90bd1,0.4,2.4
a4de6ea51,0.0,1.4
43b99bc40,0.7,0.7
453125325,0.9,0.9
36f1c9d61,0.0,0.0
8d0f353e2,-0.1,4.4
5a21eec6d,0.0,0.0
d243fce57,0.3,2.0
1d90e5473,0.3,0.3
01d646ea8,0.5,1.1
1d6944a82,0.1,0.9
57a93e9a6,0.4,9.7
eef0fa0ef,0.4,0.8
98c08df17,0.8,2.4
331a14422,0.2,2.0
1f0bb9d58,0.3,2.2
8ba0c6894,0.3,3.2
62b9cb163,0.3,2.3
978526235,0.2,2.8
c2b16f8ae,0.5,2.3
cd89328a8,0.0,2.0
a5984b6df,0.5,1.5
a9092993a,0.0,1.2
485bebd4f,0.4,5.6
42331ae6f,0.2,3.9
0c200f7a6,0.0,0.0
deda21b9a,0.0,0.0
c720ee024,0.9,0.9
c5d1b9bf9,0.2,2.6
44ddc2e22,0.7,1.5
cce8fa6c2,0.0,0.5
348a982e2,0.3,1.9
52238d3bf,0.5,1.0
57f322839,0.1,3.2
6268d4d68,0.3,1.6
919768bb5,0.0,0.0
e5f76fab6,0.6,1.3
e23c47d1e,0.2,4.8
151fabf52,0.0,0.6
3b4f31dc0,0.2,2.1
8ae60c34e,0.0,3.5
6704c5fd7,0.1,2.2
8670bd551,0.3,3.3
cc8bf5e79,0.3,0.7
0ea337520,0.6,1.8
ffd61a488,0.9,0.9
40f9864d9,0.0,2.4
a5c1c54fe,0.5,0.5
33eaf34b3,0.3,7.0
369197890,0.0,1.6
c335ad2df,0.3,7.7
a823f714b,0.6,1.3
86bf33207,0.4,0.4
da1e7c53d,0.9,2.8
0d7f7a155,0.2,0.2
a3a0fa212,0.3,3.7
74b73209e,0.0,2.0
1ccd49ce2,0.2,2.2
da840f8d4,0.0,0.3
6326958d4,0.0,5.4
86d20d7e4,0.0,0.1
13fcf57ff,0.3,8.4
03aae5768,0.5,1.1
ebd128d90,0.9,0.9
9f2dd031a,0.0,0.0
8ab1bbd3f,0.0,0.8
36fd9e13d,0.0,0.1
dffd9f2ff,0.4,3.2
a86bbc71f,0.6,1.2
c1ed602f2,0.3,5.0
19b1f4263,0.0,0.4
a90a72141,0.2,0.2
615e51eef,0.2,1.7
813658b4b,0.0,0.5
37c989ac5,0.8,0.8
e2257ac60,0.2,1.1
cdfa0548e,0.3,0.3
ac6d69d99,0.0,0.8
e62e5aa26,0.2,2.7
ed97f6919,0.4,7.6
5b3c81931,0.0,0.0
3f50cc4fd,0.5,1.6
3105b0012,0.2,2.3
efbd4c1e6,0.6,1.2
4d75e5771,0.8,3.4
19f0ef706,0.2,8.9
4b431377d,0.3,4.0
9ce816de6,0.6,1.9
ed74a9822,0.3,2.3
66201cf73,0.1,4.5
74ca92e79,0.3,1.4
01c202740,0.9,0.9
895f73f14,0.4,0.8
f4c27e753,0.7,0.7
fc9cf8b8d,0.9,0.9
f522ad8d4,0.1,4.4
3e65ffa3c,0.1,3.2
1adb292f6,0.1,5.0
e32c29f03,0.0,3.0
6a72cfda7,0.3,1.3
62eac41fa,0.3,2.1
cbd6b3064,0.5,2.1
8dd28c706,0.5,3.0
e6a856527,0.5,3.5
7964fc4ad,0.1,2.5
4a9793dfb,0.4,2.6
4009f9200,0.3,2.0
f9f914ed3,0.3,3.7
5a089c77f,0.5,4.1
59e59bd5a,0.8,0.8
09e9110e2,0.0,0.0
ec13e5f25,0.0,4.7
a2037a7b0,0.4,1.3
a9b7b72b4,0.8,1.7
21c3157e8,0.5,2.6
126cfd595,0.2,1.4
eca179f5f,0.4,2.9
f729f19c5,0.3,3.0
a63c59c80,0.0,4.7
60c1c2fbd,0.4,2.5
be5595abb,0.3,1.3
1565d09ad,0.6,1.9
12c4ed873,0.1,1.1
c1b7a178a,0.4,1.6
8e3e0ffde,-0.4,0.4
d5cbed556,0.8,0.8
e01638894,0.0,2.0
ff498c903,-0.1,1.7
172332f53,0.7,3.0
0602a34f3,0.5,1.0
169fc07e1,0.0,5.2
d09752d1d,0.9,0.9
2b6b2524b,0.1,2.1
a543418a3,0.5,3.9
b7351540f,0.3,0.9
071753413,0.6,1.9
f4813ff89,0.0,0.0
91f87fa27,0.0,0.0
3bf7bccc9,0.3,1.3
654acdb4b,0.4,1.7
059a68bf0,0.1,3.9
d6fe9ec65,0.3,1.9
29f5cedc0,0.0,4.1
57bf84005,0.9,0.9
3ac6d621b,0.2,0.9
329058ec1,0.1,0.6
764837930,0.0,5.7
e9cb42d59,0.2,0.2
b6c59bc1e,0.2,0.7
66c28f55b,-0.3,0.3
94918fff6,0.2,4.0
4dc593f4e,0.3,0.9
2a6884283,0.6,1.2
4f1a882b3,0.2,0.4
d7dc2efde,0.9,0.9
10fbc9548,0.6,4.7
ece99daf7,0.8,1.7
bca099371,0.8,0.8
0b8e1dd80,0.6,3.2
a25c1fe02,0.0,0.3
ecc626163,-0.1,0.7
b630ac493,0.2,3.6
07b2a1416,-0.1,0.2
f5b2c6fc0,0.9,1.8
8de855263,0.5,1.0
d1878035a,0.3,0.6
d5d4b6f13,0.6,2.7
8afeab374,0.3,6.8
1a8215249,0.7,1.4
53895ad35,-0.1,0.7
1fce53107,0.2,0.8
0d460fe7a,0.0,0.5
dc8359e75,0.2,1.7
1a67ffb8b,0.1,0.1
e49b7c262,0.3,6.9
6ae4fc251,0.9,0.9
3bb43df82,0.1,3.2
555e742f9,0.3,1.0
cff80e84d,0.8,0.8
f0f6f4bd2,0.0,2.6
acb0b26ff,0.2,1.2
88487194e,0.0,0.1
871ea8021,0.2,2.2
b7a55f716,0.1,0.7
aab56f3ff,0.9,0.9
7efb36b65,0.2,0.2
a32e58f2f,0.2,3.0
9488e6011,0.3,1.5
fb6c5726f,0.2,3.4
1534419ad,0.3,1.7
c0b75d155,0.1,0.1
e877b448c,0.4,1.4
95e206d02,0.1,0.7
98231df17,0.3,0.3
404eb3b06,0.3,0.7
eb8adeef1,0.3,1.0
a5dc02b69,0.1,4.0
0d6696a32,0.3,2.8
f5e496f46,0.3,7.8
1bb6183eb,0.1,1.5
73e1b299a,0.4,2.0
4df43033d,0.0,0.8
f80bf9a51,0.0,0.0
b3fa60bc7,0.9,0.9
07b2296d7,0.4,0.9
4168bfd52,0.2,2.7
2614882d1,0.1,3.7
5dddf96e8,0.0,1.7
634aa14a6,0.1,4.1
5f2edae7c,0.4,2.3
60fa6acbe,0.1,0.2
69c1801cb,0.1,2.6
ae0bc846b,0.3,1.9
fc1ac0d75,0.1,1.0
739002fc4,0.7,1.5
d76134f00,0.2,3.1
ea4c18b67,-0.2,0.2
fd8f64c6d,0.2,4.3
087313ba2,0.4,7.4
53f434ae8,0.2,0.4
ac813296c,0.3,5.1
ab4ab38d7,0.1,1.6
fd71f9fb4,0.3,1.0
c4ef3ff97,0.3,5.6
a7d44898b,0.2,2.9
89ba257e1,0.1,1.8
0499e1ea8,0.3,0.3
ec5670386,0.8,1.6
f8d831236,0.9,0.9
c59d7c9f3,0.2,2.7
b2406f38d,0.3,1.1
21958b8f8,0.2,3.4
46152db3e,0.4,1.8
eaef39ceb,0.3,8.6
7374edef0,0.0,7.5
a01a10c4b,0.2,1.1
db4165316,0.2,1.1
d919bd302,0.2,3.1
5ca64db1a,0.3,1.1
1f58a286e,0.4,0.4
23056b4b6,0.3,0.3
ce4484c3d,0.3,0.6
bea39d7ec,0.4,0.8
8b1be44c6,0.0,5.4
33752346b,0.3,2.1
414d8422f,0.4,0.8
5e08b9ce5,0.3,2.2
e3d9dc96d,0.0,0.0
bb817b755,0.1,4.1
d2f3db726,0.1,0.3
00c19f4fa,0.8,1.7
d7d1cf92c,0.2,3.0
0428af8ea,0.6,1.2
6666265da,0.3,3.2
a75bbea18,0.1,2.3
6f36088f5,0.4,1.4
3eb8ef7b3,0.9,0.9
4a609b82b,0.0,1.6
00eced1f0,-0.3,0.3
a79fe858d,0.4,3.4
e98593be6,0.3,1.8
0d2394669,0.5,2.0
01f7fdb78,0.2,1.0
bb051be7c,0.6,2.4
6d7d7753c,0.3,1.0
85952663a,0.4,3.4
3fd75e77d,0.9,0.9
2d441a71b,0.2,1.2
6b29b45d9,0.5,2.4
f1f0972e3,0.2,2.4
e830259ca,-0.6,1.2
7caa6d216,0.1,0.8
276ce7f3a,0.0,3.2
90592e40c,0.4,2.9
dc1c9f8d5,0.5,2.8
de97498e6,0.1,16.7
14272c5c7,0.7,1.4
6366dd2f9,0.0,0.0
e748f52b7,0.3,0.9
8760ee6e3,0.4,3.7
a44d42407,0.4,1.4
68046ca33,0.0,0.1
bd8f94a94,0.4,1.0
d3fd60eb9,0.3,2.6
90f1b0525,0.0,0.6
7342eafeb,0.0,3.5
25e0e0edf,0.1,0.3
6be26ea05,0.2,0.4
64c4f9057,-0.1,1.7
0e9c1385c,-0.1,0.4
1ef0bf320,-0.1,0.9
8c131db77,0.4,1.9
b28acaaeb,0.1,2.7
865ee6652,0.1,1.2
f50d4f5bc,0.7,2.1
bef49a74b,0.2,1.2
bf5bf91a2,0.4,4.6
79799da25,0.1,2.1
6b446b436,0.2,2.9
146f076cf,0.3,1.1
dcd93c794,0.7,0.7
2af9db4dc,0.5,8.7
807ea3b72,0.9,0.9
f7675eb96,0.3,3.2
fb67eb5d9,0.4,0.8
b968b85c1,0.2,1.5
1055034eb,0.1,3.1
074d26284,0.0,0.0
f5d60ca48,0.3,0.3
b8d244dd5,0.3,4.7
4f412d0fc,0.3,2.3
0d7c5b6f6,0.0,7.3
0a9f9f178,0.0,5.0
e0ad66343,-0.1,1.2
961d4ba5a,0.8,2.5
5bae0f028,0.1,2.1
3f0dca87f,-0.1,0.1
c7901e98d,0.4,0.9
65614e7f4,0.4,6.2
18a8b9b6e,0.1,1.9
3712c63fd,-0.3,1.0
43c661026,0.4,1.4
945a7a8dd,-0.1,2.9
f0193b572,0.0,0.0
0d551fb5b,0.0,1.9
b46b4419a,0.9,2.8
c6c8c73e5,0.2,4.2
ee2c40165,-0.3,2.1
f4cff3785,0.1,0.2
eb939ea9e,0.2,3.4
6c5f1f0a3,0.3,0.7
400a15912,0.3,0.7
35ec69571,0.9,0.9
73b5c37dd,0.9,2.7
9ba11975b,0.3,3.2
c3269c5d7,0.4,1.9
8623ecf43,0.0,1.0
ab8dfa983,0.1,0.1
a92b06d0f,0.0,6.2
1635eac9a,0.3,0.3
7b8924342,0.3,2.6
0753ad1cd,0.0,7.8
06fda20a2,0.4,0.8
18b2da498,0.4,3.0
33a6694b0,0.3,2.7
c14ddf8a0,0.0,0.1
5943080b2,0.5,0.5
867057e77,0.3,3.1
9f8c97661,0.2,4.0
68731378e,-0.1,0.1
191043d9c,-0.2,0.2
9b4dad348,0.2,5.3
27aa5bbfe,0.3,1.1
b4aa0c3ce,0.0,0.2
2faee359e,0.7,0.7
7fa23fd14,0.0,1.4
3740bcc5d,0.9,1.8
fc229a9d7,0.4,1.7
98565468b,0.1,1.1
06296e4e2,0.3,2.3
60a36cab1,0.0,0.6
9804a7d82,0.3,2.4
a97467fb6,0.9,0.9
c1f738966,0.7,0.7
8eb5d1d04,0.4,3.5
2f03dc1f4,0.5,5.1
20c3c2ba7,0.0,0.1
b3995ad50,0.5,1.6
5c496f946,0.1,0.1
dfe361097,0.3,1.8
829ba7bfc,0.0,0.0
1171c9a41,0.3,4.0
48553ec94,0.4,6.9
9ccf125f1,0.1,1.4
a688a434e,0.0,0.0
c37b2e740,0.4,3.5
478312b59,0.2,0.9
29466dcf4,0.8,0.8
18734d13e,0.3,3.0
19a36eaab,0.5,1.5
17bdf954a,0.0,0.2
cc4670dac,0.6,1.9
3508d0b46,0.3,0.3
b0cc3078c,0.1,1.3
dc76a1735,0.9,0.9
91697ee90,0.4,2.4
91d238a62,0.0,0.0
0bdd7f7ac,0.1,2.6
68c69f5c1,0.3,1.1
244cca93e,0.3,2.7
bb1775dbe,0.5,1.1
cf6000a98,0.1,1.3
09a024035,0.1,0.4
c1ca516d7,0.6,1.3
22145fe75,0.2,2.3
5893f7a9e,0.6,3.0
32acc8a7a,0.5,3.8
662f8c2a9,0.2,2.2
42a28c241,0.2,0.5
448770499,0.1,6.2
fc48054c2,0.3,2.5
e1b0baf8a,0.3,3.3
bf7c0f270,0.2,6.6
0bd4aed6b,0.8,0.8
bc526d236,0.2,1.8
2932eac8e,0.2,0.2
5f7343089,0.5,1.8
079785984,0.5,3.0
16f2fa5c7,0.3,7.8
df89cc1e0,0.5,1.0
48dd9f35f,0.2,2.8
c026becc2,0.3,6.6
d1de97c49,0.1,2.6
67e6db7dc,0.5,1.5
a8da358d1,-0.3,0.3
b28de653f,0.3,1.8
f45171393,-0.1,0.9
eb5eb875a,0.0,1.1
bcf13ec9d,0.2,0.2
5de61cf6b,0.7,1.4
3cc6c4102,0.0,0.8
2b4003be8,0.0,1.5
523f4a05e,0.2,1.5
e54866fe5,0.2,1.9
9d513f46a,0.2,2.4
881a77dfb,0.4,1.3
620ebd7ab,0.2,3.0
4a78a1859,0.0,0.4
45ba264f2,0.4,2.0
132346d7e,0.2,0.2
be07596c5,0.4,3.6
3970cb015,0.5,2.1
bd6a6d0dd,0.5,6.0
98f0a2ac7,0.1,0.6
1ce555db8,0.7,3.5
e62224eeb,0.4,1.4
b100db162,0.3,1.8
2d3d873be,0.7,4.9
919820452,0.3,1.5
8ff2c63c4,0.5,1.9
0e70a5a3a,0.2,1.3
1d7e844a7,-0.2,0.2
248eca1fa,0.0,4.0
626b056b5,0.1,2.4
5fb30c1f8,0.7,0.7
94aec9453,0.9,0.9
ef30ade75,0.4,5.9
2c0a3e57e,0.4,0.9
a3b415951,0.1,0.1
923a7163c,0.2,1.3
96e9f6fd8,0.2,3.3
dc23feccc,-0.6,1.8
ea3fe3286,0.1,3.7
1bbf00182,0.6,2.6
5ff169a48,0.3,2.9
b247a426a,-0.1,0.1
0c3f6001a,0.0,2.4
3edf44325,0.0,0.0
ca4a8f0c2,0.0,0.4
dc88ebe46,0.5,0.5
513062327,0.4,2.9
feff505f1,0.9,0.9
9ceada263,0.3,2.7
6d5b6616f,0.6,3.4
355048bb7,0.9,1.8
f310c42f2,0.4,0.9
0c9133a83,0.2,2.0
b48aa9d4a,0.3,1.2
48594b089,0.2,0.9
2befe2607,0.2,2.0
155d18f5f,0.1,1.6
80255c391,0.4,1.2
70edbb1e3,0.5,2.9
3ef52fe8b,0.1,1.8
92d830572,0.3,5.0
fd7c54ba8,0.0,1.1
1716cd645,0.3,1.6
c2346525a,0.5,1.1
d7d0b2194,0.1,7.5
4931c712b,0.0,0.0
f2b8dbfde,0.0,6.0
1b9cedf4a,0.0,2.3
8b01f5e06,0.6,0.6
3b95539f0,0.4,0.9
ef8d291b0,0.2,1.9
fad982f0a,0.0,0.0
b70f7c3d6,0.2,2.4
3b1391dda,0.2,4.2
20559d623,0.3,1.2
0b90767fa,0.1,1.2
68e46ed0e,0.7,2.3
de0f0272c,0.0,0.0
46b2782d5,0.0,0.4
4f623a979,0.4,0.8
14c6c68e2,0.2,2.7
92d0ff357,0.2,1.9
0690278af,0.0,0.0
83defd365,0.6,2.0
9430042a3,0.3,4.8
8eb134074,0.0,1.9
e488a36cf,0.0,0.0
4edc9ecc5,0.8,0.8
2885ade43,0.2,0.9
081199ea2,0.5,5.1
e7db9c90c,0.2,2.4
ca2c00404,0.2,1.9
0e52438a0,0.0,0.0
38c5d4e0e,0.9,1.9
d2eda3337,0.9,0.9
2a9be9456,0.3,2.1
b9d6b1488,0.4,2.9
799ea79a2,0.3,2.5
